reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId
gp:AOqpTOG7d4WTspkpuguzZ5BWYE67lEY6CpaM91E18S22EItVhA_kQ55uoYBLyYkvPLSxq7DRU4fEhABoLX5n2A,Karthik Akash,https://play-lh.googleusercontent.com/a-/AOh14GhGAiK2rzH2VbhJEjmljUOl8q9oF1P6qj0JSKlqLA,Data and other balances aren't getting refreshed. Can't check my additionally activated packages for my WiFi. And too much data consuming. Should've been a light and optimmised app. Either make it light and optimised or don't charge data for app usage. New design looks inspired by current UI trends (looks good) but falls short on performance. Fix these!,1,79,14.0.1,2021-04-15 02:28:16,"Hi Karthik , We are extremely sorry that you are experiencing this issue. Please be assured that you will not be charged for MyDialog app if you are using a Dialog connection to access the same. Further, We value your feedback. We have co-created this interface with customers and we would love to hear from you to clarify the issues you are having.",2021-04-15 02:45:11,most_relevant,net.omobio.dialogsc
gp:AOqpTOEMW3uKrQ7uOOr87eim8RQ7S2oQwJ1HHmqfXbx8Go91fE__U1E-LtsycCnd03U1AWYR6faZCtucWgzIkg,neonn skye,https://play-lh.googleusercontent.com/a-/AOh14GjS5MqFUS11jIMzNe8P14pAIXokivpgc--Nc8Fg_g,"Worst app ever! Everytime it takes 2 minutes to load the app. Then it takes another 30 minutes to load the menus. Then when I try to switch accounts it takes another 30 seconds to load. App is very poorly done and unresponsive yet this is the Dialog recommended way of managing your account. App has a lot of bugs- channel list for DTV packages are cut off by buttons, balance doesn't update, and the design is very inconsistent and ok inefficient. Ironically the only thing that works is payment.",1,0,,2021-07-24 07:19:27,"Hi, please write us your concerns via Whatsapp 0777678678 / messenger for assistance on this",2021-07-24 07:22:29,most_relevant,net.omobio.dialogsc
gp:AOqpTOHONDlLZjguhJpImp14f1iU8pyJN4JK7f-PUpOFTOe9dF_egndahtBpNVZ2BBI2Jv6z_zCLhjvKMTNIgQ,kasun ekanayaka,https://play-lh.googleusercontent.com/a-/AOh14GhR_070Ilwj7qgs-Spss13H7JzOzPaf1H_Bu-JJEA,Complex it gets harder to maintain. you guys have to consider about the user reviews. Those details are the best chance to make this app more efficient. 1st thing when we go for our data details in broadband connection we have to go many different windows to see the status. Like anytime for one window. Night time for one and others for another one. Do you need to have those windows actually. I think we don't. Keeping them in main page we can scroll down and go through them.like before. Consider.,1,196,14.2.1,2021-09-10 20:27:07,"Hi, Apologies for any inconveniences caused. Appreciate if you could share your connection details via Dialog WhatsApp > 0777678678 as we would be glad to check and assist you accordingly.",2021-09-10 20:46:46,most_relevant,net.omobio.dialogsc
gp:AOqpTOEwOosoBhjmPQBytEF9Lr7-ERUbOWwquXy3nK-xUTGrtccbjE9-TsSylIPAM9kSs3nbLC7OeItX3juzJA,kusal mendis,https://play-lh.googleusercontent.com/a-/AOh14GgVcq-h4oCda1z_LRn2rXyO6fVUfTgSepi7o34DqQ,It says 4G but the speed is not even 2G. In addition the wifi gets disconnected after a short time. I'm waiting until the lockdown is lifted to disconnect this service. Very disappointed with this. I repeatedly asked and was assured that this was the best device. I will share my displeasure through social media. I am already discouraging friends and family from subscribing to Dialog services.,1,3,14.1.0,2021-08-28 16:17:04,"Hi, Kindly Accept our sincere apologies if any inconvenience was caused. To check and assist you further, please do get in touch with us via WhatsApp(777678678) and provide us with your Connection details :)",2021-08-28 16:52:00,most_relevant,net.omobio.dialogsc
gp:AOqpTOH1uYhgr2CPlRlgvc34d1uhPDsEEyie9yOKDNXIN4gYcEfJtwbvQSK1qNJ6FedclIs5NQxLRrTAhJIejg,Zainab Zuhrie,https://play-lh.googleusercontent.com/a-/AOh14GiNfHommQizQV9k-TZYlAo0wVyEZm-HMXpq3DK1dg,"The app! It loads and loads and loads... just to give me an error denoted message, for nothing apparently. At the moment there's a high necessity for me to make online reloads... but the app doesn't make space for it. I just get worn out and so exhausted finally! Every time I try to make an urgent reload; after getting me to type the loads of information... there pops up a message showing an OTP error. Whereas there's no detected OTP errors when I make other online payments away from the app.",1,3,14.0.1,2021-05-28 06:32:34,"Hi, Apologies for any inconvenience caused to you. We are continuously improving the speed and the stability of the app, and keep the app always updated with the latest version. Also, please share more details of the incident via email to service@dialog.lk or WhatsApp (777678678) Hotline. Our team will be happy to assist you.",2021-05-28 06:49:23,most_relevant,net.omobio.dialogsc
gp:AOqpTOHqshWmCR1mRhBwvLYSShEHi6apFTtujqZQC5s5X689IxNc7Lwz74QzQCAoJTB8VCzkcAtWuBSQgoWN3A,Sankha Dahanaggala,https://play-lh.googleusercontent.com/a-/AOh14Ggc9XytNlwSeFLEwMGw3DsAGeD8kUxJzgv2CjG08Q,"WORST APP EVER! I regret updating from the previous version. New one is much more slower and inconvenient to use. Previous version gave direct views of the data balanne, but not this one. Time to refresh is also taking too longer now. I will change my rating to a higher level if these issues are fixed. Thank you for the previous experience though. Edit: I'm not emailing or WhatsApp-ing anymore thoughts because I know you know exactly what I'm talking about.",1,288,14.2.1,2021-09-17 14:49:48,"Hi Sankha, Please do accept our humble apologies for the inconvenience caused, we would appreciate it if you could share more details of any incidents via email to service@dialog.lk. Our technical team will be happy to assist you. We hope you'll reconsider giving us a better rating 🙂",2021-09-17 15:31:21,most_relevant,net.omobio.dialogsc
gp:AOqpTOHgwf9uhbSf8CWgMq5hmUKGq6fhun7zdxpcWTTZ8mmH_OQcUnRYpKBSF1BZBrnu5SV97C2el_D2HQZAnA,Daniel Kishan,https://play-lh.googleusercontent.com/a-/AOh14GgY5kUByzxFwVdC7uNewheRzyqpHMNoGVZ1_0vPEA,"Poor connection and now poor application, way too complicated new UI. The concept has to simple and powerful enough, user does not need to see the details all the time, dashboard in application is all about updating user with important details, taking user to various components and the time it takes to render and load data into UI. Not satisfied with UI/UX and even the slowness to render view, so disappointed..",1,1,,2021-04-24 15:46:01,"Hi Abhishek, if the reason for the low rating is because you've faced an issue, please share more details of the incident via email to service@dialog.lk. Our technical team will be happy to assist you. We hope you'll reconsider giving us a better rating 🙂",2021-04-24 15:54:49,most_relevant,net.omobio.dialogsc
gp:AOqpTOHH4OJEppIyVszlVa1yOwwGmzFVOdgWyo63u519XW7PginVtIDz2GeL9pZEvcPjIRX_8hsNZv70NjTalQ,Fathima Hasna,https://play-lh.googleusercontent.com/a-/AOh14Gh6CT1YedpHkl9AneCqc1pUvgp593blcOEgurx1ZQ,"God whats wrong with this dialog... there is no network coverage in our area. Not at all. Network issues all the time. We called all your agents no use... no proper services at all. Really frustrated to use. Have to work with payments method... its not working properly. Ive even re installed the app several times. Still app is not allowing for card payments. You have a wide range of customer base. As a matter of fact, you should maintain the servers and network speed and other services too.",1,135,14.0.1,2021-06-12 19:20:02,"Hi, Please do accept our humble apologies for the inconvenience caused, please share more details of the incident via email to service@dialog.lk. Our technical team will be happy to assist you. We hope you'll reconsider giving us a better rating 🙂",2021-06-12 19:46:58,most_relevant,net.omobio.dialogsc
gp:AOqpTOGU5y5Wb6I0hy_ZdZveTjgYPHaOZhvGtzzUamQNgZf_deGVIJVU787PVaMCc6UZsozm-1gYG_czglAnzw,Amzal,https://play-lh.googleusercontent.com/a-/AOh14GiQ8HPRW8Ewv50wU87GkE522VpBhlMifLjQjou0VQ,"The app is very slow and gets stuck everywhere. Please give a performance upgrade to the app. I have good network connectivity so its not a problem with the network, but actually the problem in app performance itself. There is too much bloatware in the app. I have this app on three phones to manange over 10 different dialog connections oncluding broadband and tv. Its really a hassle touse this app as it performs very poorly.",1,514,14.1.1,2021-07-24 09:39:25,"Hi, please write us your concerns via Whatsapp 0777678678 / messenger for assistance on this",2021-07-24 09:59:31,most_relevant,net.omobio.dialogsc
gp:AOqpTOHKTzDVkwz97FVL2TW7ujez0MZn9M3w_dLCEK3Nc7QccinHYN9hU4tWpUGVGbGEEvoZe8wEsp2gTPEi7Q,Sumaiya Mubarak,https://play-lh.googleusercontent.com/a-/AOh14GhWbUHtLtXwFGsXqaDt_rCSeLeQ4ncRFlrY3jF2Vw,"After the new update... The app is very slow in performance.. takes forever to open up. It is very difficult to navigate between several connections.. the UI superficially looks attractive, but to see you have plugged a new face on top of the old app which is very poor development approach. The app overall is s...l......o......w....w in performance.",1,202,14.0.1,2021-04-17 00:29:23,"Hi, Thank you for the feedback, we are continuously improving the speed and the stability of the app, we recommend you to keep the app always updated with the latest version for a better experience. The new UI is designed based on customer feedbacks and user preferences. Please share your feedback with us via service@dialog.lk .

",2021-04-17 00:42:51,most_relevant,net.omobio.dialogsc
gp:AOqpTOEyKGP5p5QuIKqAYAA3JJ9acCWGP_mla6wYw6x1FOZbIMpGXqFUwJFh0p3Gsu4gpPYFMYF5MxPR4eHr9Q,Akila Herath,https://play-lh.googleusercontent.com/a-/AOh14Gh-8MRnzTIaNLo4-OiQJdtLHePwYWvs9IHU5K_iCg,"Some parts of the app doesn't work (eg: Change to postpaid, results in an error always.) Options are hidden under multiple layers of menus, duplicate menus, a total mess. Overall garbage service everywhere, as soon as the user base surges the whole infrastructure fails, finally added unlimited data but capped speeds to 1MB/s etc. No wonder Surfshark found out that SL has the worst internet of all countries when we have to deal with this trash ISP.",1,179,14.2.0,2021-08-21 11:59:58,"Hi, Apologies for any inconveniences caused. Appreciate if you could share your connection details via Dialog WhatsApp > 0777678678 as we would be glad to check and assist you accordingly.",2021-08-21 12:17:08,most_relevant,net.omobio.dialogsc
gp:AOqpTOGSMatBd-DPEY0tsVjTaSQnc9zQJqj9ZuCU_ZSQr2OFXpfGwt8BPcNSTJ15YNzN_bbN99-JMpCrsRQVIA,Tharinda Jayawardana,https://play-lh.googleusercontent.com/a/AATXAJzjEOfCDYAdOQ-G6CjUs-l6IC8IaXV9xNnAt8BL=mo,"Agree with the feedback given by others... Previous UI was much better, can see the main info like data meter instantly as soon as you open app... Now, have to click multiple times to get this simple info... Even when you go inside to get details of data usage, night time is one tab, bonus data in another tab.... Inefficient and old fashioned... Why break what wasn't broken....",1,310,14.0.1,2021-04-16 03:51:59,"Hi, if the reason for the low rating is because you've faced an issue, please share more details of the incident via WhatsApp (0777678678) or Messenger . Our technical team will be happy to assist you. We hope you'll reconsider giving us a better rating",2021-04-16 04:13:18,most_relevant,net.omobio.dialogsc
gp:AOqpTOEPYul0Mu8wshJe4-_xsO9sXEJ6e85XJUMb8cJVKu0fyHj1vJQw-lSauEdZeCNMZFPpMwX3U7ndiJJPRA,mihindu Wijesena,https://play-lh.googleusercontent.com/a-/AOh14GjSR4NF1ffMlC_GMw22Ble4D-kkbXQyU4rypiwMwg,"This version 14 is not upto the expected levels. Performance on dialog HBB connections are also worst. It took 25 seconds just to open the app. (recorded and sent to dialog) then another 5 seconds to refresy data.. Then another 10 to load the data for HBB, anyone using the app, if yiu get any nortification, ppease Screen record, otherwise they tell i didnt use the app. Frsutration with frustraions.",1,185,14.1.0,2021-07-24 04:44:42,"Hi, Apologies for any inconvenience caused to you. We are continuously improving the speed and the stability of the app, and keep the app always updated with the latest version.",2021-07-24 05:04:22,most_relevant,net.omobio.dialogsc
gp:AOqpTOFsQevFRAVD8E8sVK9y7TI2XszKBGWrs88KwMV_FOeUmKpWGmup1IHzNkjHXY4lOgSBzxlzYXBnM-jOjw,Yasithan,https://play-lh.googleusercontent.com/a-/AOh14GjWQ26yysbvvF2eb0QsNlpDGf-lhqXEvmO5ee4L8L8,"This app is so slow but does the work perfectly. All other applications are working fine this particular application is really slow. App loads for ages then balance details loads for ages and if you want to activate a service again it keeps on loading. I tried in 3 different devices, it's same for all 3 devices. I request you to improve the application.",1,233,14.2.0,2021-08-18 09:40:35,"Hi Yasithan, Please do accept our humble apologies for the inconvenience caused, we would appreciate it if you could share more details of any incidents via email to service@dialog.lk. Our technical team will be happy to assist you. We hope you'll reconsider giving us a better rating 🙂",2021-08-18 09:51:30,most_relevant,net.omobio.dialogsc
gp:AOqpTOEBhtxkFhaNZPQnM1eMvUNezppjJgvLXtZN119YRIaJxhYDiHg-iff55mXOXMpK6QfMGk1_9nlA5YRCMA,Charith Pr,https://play-lh.googleusercontent.com/a-/AOh14Gi1aUGh9a5UvLvDJK8xwps5Bj2IJSM1JgGLZX09,"People have to be very careful when using this app. Especially, when recharging, activating and deactivating packages. I used this app recently to recharge my account. But my account balance didn't increase. So, I had to wait so long for a customer representative. The package changes also doesn't work properly. I had to face so many difficulties when changing packages. Eventually, I had to request them in written to change the packages. I am really unsatisfied with this app.",1,1,,2021-01-07 01:45:43,"Hi, Thank you for the feedback and rating. Please get in touch with us via WhatsApp (0777678678) for any issues.
",2021-01-07 02:00:08,most_relevant,net.omobio.dialogsc
gp:AOqpTOFeTYv5dBjGWzPqHnvmw-RKjCfVGFn3NC2mgou33zTdVCEtK0ZVHWJAvCefVDSLb2R3vqgpNuU9zCe3Ow,Judy Godlieb,https://play-lh.googleusercontent.com/a/AATXAJyE6itN--LJsY1B5sZtMQnMmjWGHGQOsYzykvwj=mo,A waste of data with Night time 12 midnight to 8am.Who the heck can wait up till 12 just to use the data. It's a stupid system. Been with Dialog for over 20 years now and so much of Data goes waste for all the reload that I have put. Useless. Utterly useless. What a lot of money has been spent and I'm not even able to make use of the data. At least you should change the hours for customers who have been with you for over 2 decades.,1,207,9.2.1,2019-10-24 14:54:35,"We understand your concern and we wish to inform that the quota system is in place due to TRCSL regulations. The packages are designed based on consumer analysis geared to cater to every consumer. Based on your current usage and lifestyle, you may choose the package that fits you best.",2020-04-09 16:02:39,most_relevant,net.omobio.dialogsc
gp:AOqpTOGYePxzJQuGxhab7fFUQ0EmLt9lpi5gcD25kGIKE0Gb-X-rnTMmHq6Q5DDfLsd7NMJNkHDGa2TVVHh8CQ,Surakshi Rajahmoney,https://play-lh.googleusercontent.com/a/AATXAJwB5dkTR78_vrUfm2zEMyAq5cqoIROIgrGYP32Y=mo,"Very unreliable app.Hardly able to check balances or make adjustments as its always 'unable to proceed' Do not see the point of having an app, if you do not let your users manage their connections through it. And looks like nothing has been done as complaints have been coming since last year!!",1,24,8.1.0,2019-04-12 15:55:51,"Hi, Please reach us via our online chat support, email - service@dialog.lk or social media channels for assistance.",2019-04-13 05:50:57,most_relevant,net.omobio.dialogsc
gp:AOqpTOGpMH-Cs5U__VUnk8C49tnjRgAmpA4QDjJs28fhZM7UmTOV85x95WB9fMhn41u_-AE7qwP8m-ee-7ohAQ,Fahim Ibrahim,https://play-lh.googleusercontent.com/a/AATXAJxwuh1QATRCjOZbyZLEu8yqgk3UC3MIPADTl2Bs=mo,"Some easy features are gone in latest update. Very bad UI. Earlier I simply could check the last month payable amount and current month running amount in the home screen. It's not there anymore. I have to go to view bill, download the bill and view the details. Very irritating. 24 Mar 21: Home screen of latest update is rubbish. It appears Dialog is too stingy to spend on a professional UAT. Old version was so easy.",1,71,14.0.1,2021-03-24 05:49:40,"Hi Fahim, Please share your concern via WhatsApp 777678678 :)",2021-03-24 05:56:38,most_relevant,net.omobio.dialogsc
gp:AOqpTOEZx_h6EL5iRW3uA-cmZPnGhHcPNugYykvCD_gvHJ8otQtonon3SrAgKyrrnQVtYRlX4e5wSWB3xm32Qw,thimal gamage,https://play-lh.googleusercontent.com/a/AATXAJwMHAYgqDeCUnL3pLIZjPbhOxxiskHaW8PXSpjg=mo,"Very bad experience. The new update makes the app really slow especially on old devices. Some pages won't even load, for example I was gifted some e-cards and the e-card wallet page won't even load to activate them. The new update is terrible. It's sad because the app should improve but in this case it's improving backwards.",1,46,14.0.1,2021-03-25 02:40:15,"Hi, We are extremely sorry to hear about the unpleasant experience you are going through. We have co-created this interface with customers and we would love to hear from you to improve further. Kindly share your thoughts via Email - service@dialog.lk
",2021-03-25 02:55:16,most_relevant,net.omobio.dialogsc
gp:AOqpTOGXfe85W8YkZdwBlyc6aKkml-QOTxizuHT36mp8w6L_wh3s3oA1mq1QOAv7sAYM4-dMKH-Ev-ScDXbvYw,Hithush Mohanaraja,https://play-lh.googleusercontent.com/a/AATXAJz14WD1j3NEFdW0gY_SZZDZ3D1iX4FXToIf5K2G=mo,"For a mobile network app, this is a terrible excuse. For one thing, its interface is far from being user friendly and another drawback is that this app is terribly slow; always. Please improve. An app for a mobile network is supposed to make things easier and quicker for the user, not cause more difficulties.",1,79,14.2.1,2021-09-28 07:34:24,"Hi Hithush, extremely sorry that you had to go through this concern. please be assured our team is working on enhancing the app performance. via future updates, these issues will be rectified. kindly keep your app up to date in order to get these updates",2021-09-28 08:04:18,most_relevant,net.omobio.dialogsc
gp:AOqpTOHe758G3b3IJpDECFZqLxdvEUarSJc3-lv1CYVQJWGZ-LZqYflchR_c41l-ZF_MNe2rOVpF_o7qfcDfow,AMHAR MUHAMMED HAMZY,https://play-lh.googleusercontent.com/a/AATXAJyAHL8WBIWDlHroKWDEvkDgEUtVmmFgZUs-xote=mo,"Worst experience with this app... It gets more than 3 mins to open and load the data... mostly shows ""something went wrong"".... some options don't work sometimes.... the old update is better than new...!! Always showing that the update process is ongoing, but nothing improved... same lagging and same speed.... Developers?? There are many simple apps that works smooth... This one is Worst ever...😤",1,1,,2021-07-04 03:39:53,"Hi, Extremely sorry for the unpleasant experience you are going through. Can you kindly reach us via our WhatsApp hotline (0777678678) to further check on this matter?",2021-07-04 03:42:26,most_relevant,net.omobio.dialogsc
gp:AOqpTOGLxbdzq-nhkT7FGKQlpR0gLTKSZuyvDdZ-K8dx-VNO1LwxRncFWE97V2AHBav1HPKn_dlLZG2KvvRttA,Poornima wijebandara,https://play-lh.googleusercontent.com/a-/AOh14Gi_oIetUr38_MwqKfeH5nTiWs9oLIVbDypNSurVAw,The app is damn slow. The information is NOT ACCURATE. Ex: I should refresh the app atleast 3 times to get the actual amount of data that is left in my router. Once my package was shown as something lesser and I was confused why the bill is super high. I refreshed the app again and then it showed my actual package info. Don't ask me to contact the hotline or via WhatsApp coz they never respond. The response that I'm getting is that their que is high and it happens all the time.,1,237,14.1.1,2021-08-09 12:08:50,"Hi Poornima, Please do accept our humble apologies for the inconvenience caused, we would appreciate it if you could share more details of any incidents via email to service@dialog.lk. Our technical team will be happy to assist you. We hope you'll reconsider giving us a better rating 🙂",2021-08-09 12:19:45,most_relevant,net.omobio.dialogsc
gp:AOqpTOEVQY6FufUlB1okok5jhJ8y4lZkLPCddwLRNc8mEoZezfk1IwpMo1DQcfPD32pPFfKT3LtB4_EY-5251w,Harihamshayan Vensonlas,https://play-lh.googleusercontent.com/a-/AOh14GgnjmmLFdeW0dpfJLGysL2bNjp-fZ6oAP4QBSdt,"Dialog Broadband router which i have at my home shows me full bars of network signal and it takes 4 minutes to load this app. And finally it shows ""SORRY, NO RESULTS FOUND"". If i could add pictures here i would have done it. So many times i complained about the coverage issue. Even If there is low coverage the google chrome would work.. But having full bars of signal i can't even open my web browser. If possible i would give 0 stars to this app. Really disappointed.",1,201,12.1.0,2021-02-02 16:39:40,"Hi ,We are sorry about the unpleasant experience you are going through. Kindly get back to us via WhatsApp(0777678678) with your connection and device details as our team would check and assist you with the same.
",2021-02-02 16:48:35,most_relevant,net.omobio.dialogsc
gp:AOqpTOGexzbyWKmLbl1T_ubql7Hu6bhzrw9kd6i_ha7ypXQi3pyYS_P9TWKAf7rNiNVqOzfCuhdw8Pg0yf5Hkw,Ashen Perera,https://play-lh.googleusercontent.com/a-/AOh14GiOi5ZXBpCsAL-1Yvx1rfnR9h88xFaeGP8cV28p,"App get the job done. But its very slow and not refined. Don't mistake me. I'm on SD835 and have 8GB of ram. Also the most annoying thing is, this app drains battery so much.In the most of the time I'm seeing this app has drained battery even when i have not even opened it for a single time. A fix will be pleased.",1,35,7.1.0,2018-11-30 04:08:43,"Hi Ashen, thank you for your feedback. Appreciate if you can reach us via our live chat support to assist you.",2018-12-04 03:30:23,most_relevant,net.omobio.dialogsc
